ID,space_alias_name,space_type,space_category,department_occupied
868,Fly Food Room,Specialist Area,Academic - Faculty,Biosciences
869,Temporary Contractor office,Office,Academic - Faculty,School of Education
870,Accessible WC,Leisure Facilities,Support,Sports Operations
871,Dance Studio,Leisure Facilities,Support,Sports Operations
872,Store B,Storage Space,Academic - Faculty,Biosciences
873,Team Change 1,Leisure Facilities,Support,Sports Operations
874,Music Store,Storage Space,Academic - Faculty,Drama
875,Helium Recovery Room,Specialist Area,Academic - Faculty,Physics and Astronomy
876,Cold Water Storage,Leisure Facilities,Support,Sports Operations
877,Store,Office,Academic - Faculty,School of Education
878,Physiology Lab,Laboratory,Academic - Faculty,Sport and Health Sciences
879,Flat Store in Studio 3,Storage Space,Academic - Faculty,Drama
880,VR Laboratory,Laboratory,Academic - Faculty,Sport and Health Sciences
881,Technical Office,Office,Academic - Faculty,Drama
882,Platereader lab,Specialist Area,Academic - Faculty,Sport and Health Sciences
883,"Works, Employment Interactive Area",Other Space,Support,Student Employability and Academic Success
884,Estate Patrol Office,Office,Support,Security
885,Geotechnics Lab and Cutting,Specialist Area,Academic - Faculty,Camborne School of Mines
886,Postgrad Computer Room,Computer Room,Academic - Faculty,Drama
887,GTAs and Research Fellows,Office,Academic - Faculty,Politics
888,Woodbridge Room,Meeting Room,Support,Event Operations
889,Store & WC,Storage Space,Academic - Faculty,School of Education
890,CLES Lab Lobby,Laboratory,Academic - Faculty,Biosciences
891,Laundry,Specialist Area,Academic - Faculty,Drama
892,Reception Store,Leisure Facilities,Support,Sports Operations
893,Changing Places Sanitary Accomodation,Leisure Facilities,Support,Sports Operations
894,Research Support Office,Office,Academic - Faculty,Engineering
895,Equipment Store (Weights Studio),Leisure Facilities,Support,Sports Operations
896,Quarantine Procedure,Specialist Area,Academic - Faculty,Biosciences
897,Estate Patrol Store,Storage Space,Support,Security
898,BOOK CONTROL HALL,Library,Support,Library
899,Kitchenette,Other Space,Support,Student Employability and Academic Success
900,Gym,Laboratory,Academic - Faculty,Sport and Health Sciences
901,Laundry,Storage Space,Support,Event Operations
902,Network Patch Cupboard,Other Space,Support,IT Services
903,Bathroom,Balance Space,Support,Grounds Services
904,Meeting Room,Meeting Room,Academic - Faculty,Politics
905,Team Change 5,Leisure Facilities,Support,Sports Operations
906,Shared space - Department is not right,Office,Support,Education Services
907,Reception Office,Leisure Facilities,Support,Sports Operations
908,M/C ROOM,Library,Support,Library
909,Lockers,Leisure Facilities,Support,Sports Operations
910,TS Office,Office,Academic - Faculty,Psychology
911,STORE/LIBRARIANS,Library,Support,Library
912,Director of Cricket Office,Leisure Facilities,Support,Sports Operations
913,GREENHOUSE,Workshops,Support,Grounds Services
914,"Microscopy suite, confocal and epi-fluorescent",Specialist Area,Academic - Faculty,Biosciences
915,IT office,Office,Support,IT Services
916,Glass Wash,Specialist Area,Academic - Faculty,Sport and Health Sciences
917,TOILETS - SPORTS FITTINGS,Leisure Facilities,Support,Sports Operations
918,Science Store,Storage Space,Academic - Faculty,School of Education
919,Office 8 Academic,Office,Academic - Faculty,Drama
920,Container - storage only,Specialist Area,Academic - Faculty,Biosciences
921,Extension to Fitness Suite,Leisure Facilities,Support,Sports Operations
922,PERIODICALS AREA,Library,Support,Library
923,Tutorial Room 2,Seminar Room,Academic - Faculty,Drama
924,Staff Meeting room - office 6A,Meeting Room,Academic - Faculty,Drama
925,EMPS Laboratory,Specialist Area,Academic - Faculty,Engineering
926,Concrete Technology Teaching Laboratory,Specialist Area,Academic - Faculty,Engineering
927,School Library Space,Library,Support,Library
928,Imaging Suite Lab,Specialist Area,Academic - Faculty,Engineering
929,Store (External Metal Door),Storage Space,Academic - Faculty,Biosciences
930,Storage Space for EDS,Storage Space,Support,Commercial Residential and Campus Services
931,Microbiology Laboratory,Specialist Area,Academic - Faculty,Biosciences
932,Greenhouses,Specialist Area,Academic - Faculty,Biosciences
933,Insulated Shed - Experimental Garden,Workshops,Academic - Faculty,Biosciences
934,Seminar Room 1,Seminar Room,Academic - Faculty,Drama
935,CLES Autoclave,Laboratory,Academic - Faculty,Biosciences
936,Data Comms,Other Space,Support,IT Services
937,Fitness Suite (Cardio Equipment),Leisure Facilities,Support,Sports Operations
938,IT Store / Comms,Other Space,Support,IT Services
939,Virology Laboratory,Specialist Area,Academic - Faculty,Biosciences
940,Helium Liquifier Room,Specialist Area,Academic - Faculty,Physics and Astronomy
941,INTERLOAN OFFICE,Library,Support,Library
942,"IT equip. receipt, dispatch & store",Storage Space,Support,IT Services
943,Educ Psyc store,Storage Space,Academic - Faculty,School of Education
944,Minerals Processing Lab,Specialist Area,Academic - Faculty,Camborne School of Mines
945,EMPS Office 2,Office,Academic - Faculty,Engineering
946,Biosciences Teaching office,Office,Academic - Faculty,Biosciences
947,CHERC Lab 2,Specialist Area,Academic - Faculty,Sport and Health Sciences
948,Room 2,Laboratory,Academic - Faculty,Biosciences
949,Academic - History (Cornish Studies),Office,Academic - Faculty,History
950,Academic Office - DVC,Office,Academic - Faculty,Sport and Health Sciences
951,EXERCISE STUDIO,Leisure Facilities,Support,Sports Operations
952,Ibrahim Ahmed Room,Meeting Room,Support,Event Operations
953,G6 - Storage for Furniture Reuse,Storage Space,Support,Facilities Assistants â€“ Streatham
954,Biocatalysis Dark Room,Specialist Area,Academic - Faculty,Biosciences
955,Lower Sports Hall,Leisure Facilities,Support,Sports Operations
956,Copier,Storage Space,Academic - Faculty,Politics
957,Biocatalysis Meeting Room (within BC2.1),Meeting Room,Academic - Faculty,Biosciences
958,CHERC Lab 3,Laboratory,Academic - Faculty,Sport and Health Sciences
959,Office 9,Office,Academic - Faculty,Drama
960,GENERAL OFFICE - 99 READERS,Library,Support,Library
961,APPLE TAXIS Meeting Rm,Retail Outlets,Support,Commercial Operations
962,CLES Office 4,Office,Academic - Faculty,Biosciences
963,Officials Change 2,Leisure Facilities,Support,Sports Operations
964,Student Sports Hub,Leisure Facilities,Support,Sports Operations
965,The Shop - Toilet,Retail Outlets,Support,Commercial Operations
966,Fitness Suite (Weight Room),Leisure Facilities,Support,Sports Operations
967,Kitchen & Food Store,Storage Space,Academic - Faculty,Sport and Health Sciences
968,Meeting Room,Meeting Room,Academic - Faculty,"Sociology, Philosophy and Anthropology"
969,Single Bed Rest 2,Laboratory,Academic - Faculty,Sport and Health Sciences
970,Social Space,Social Space,Academic - Faculty,Drama
971,STORE BY LOBBY,Leisure Facilities,Support,Sports Operations
972,IT Switch Room,Other Space,Support,IT Services
973,Lobby 1,Laboratory,Academic - Faculty,Biosciences
974,Welding Workshop,Workshops,Support,Engineering and Maintenance
975,"Specialist Area, plus desk",Specialist Area,Academic - Faculty,Psychology
976,Lab,Specialist Area,Academic - Faculty,Engineering
977,SWIMMING POOL,Leisure Facilities,Support,Sports Operations
978,Drama Store,Storage Space,Academic - Faculty,School of Education
979,EGD Store,Storage Space,Support,Student Employability and Academic Success
980,JOURNALS RM,Library,Support,Library
981,Academic Office- Richard Cochrane,Office,Academic - Faculty,Engineering
982,Box Office,Retail Outlets,Support,Commercial Operations
983,Workshop,Workshops,Academic - Faculty,Biosciences
984,EMPS Office 3,Office,Academic - Faculty,Engineering
985,Office - Trial Managers,Office,Academic - Faculty,Psychology
986,Surgical Instrument Cleaning,Specialist Area,Academic - Faculty,Sport and Health Sciences
987,Nutritional Physiology Laboratory 2,Laboratory,Academic - Faculty,Sport and Health Sciences
988,Kitchen,Other Space,Support,Grounds Services
989,SOIL STORE\TREATMENT,Workshops,Support,Grounds Services
990,PG Computer Room - CLES,Computer Room,Academic - Faculty,Biosciences
991,Post Room,Office,Support,Mail Room
992,AUDIO VISUAL STORE,Library,Support,Library
993,COSTA Shop,Retail Outlets,Support,Commercial Operations
994,Drying Room,Other Space,Support,Grounds Services
995,Hallway,Balance Space,Support,Grounds Services
996,GROUNDSMAN STORE,Storage Space,Support,Grounds Services
997,Mezz Social Space,Leisure Facilities,Support,Sports Operations
998,Office Lecturer (History),Office,Academic - Faculty,History
999,Storage,Storage Space,Support,Commercial Residential and Campus Services
1000,Showers,Leisure Facilities,Support,Sports Operations
1001,Admin Office,Leisure Facilities,Support,Sports Operations
1002,APPLE TAXIS Shop,Retail Outlets,Support,Commercial Operations
1003,Support Office,Office,Academic - Faculty,School of Education
1004,Washbasins,Leisure Facilities,Support,Sports Operations
1005,Workshop 1 & 2,Workshops,Academic - Faculty,Engineering
1006,Office 3,Office,Academic - Faculty,Drama
1007,CORNWALL HOUSE POOL,Leisure Facilities,Support,Sports Operations
1008,TRUE COLORS Toilet,Retail Outlets,Support,Commercial Operations
1009,Store,Specialist Area,Academic - Faculty,Physics and Astronomy
1010,Storage Room,Storage Space,Academic - Faculty,Engineering
1011,CLES Store,Storage Space,Academic - Faculty,Biosciences
1012,TRUE COLORS Kitchen,Retail Outlets,Support,Commercial Operations
1013,Yoga Studio equip store & AHU (via ladder),Leisure Facilities,Support,Sports Operations
1014,Office - Director,Office,Academic - Faculty,Psychology
1015,TRUE COLORS Electrics,Retail Outlets,Support,Commercial Operations
1016,SECRETARIES STORE,Library,Support,Library
1017,STORES,Leisure Facilities,Support,Sports Operations
1018,Reception/Entrance lobby,Leisure Facilities,Support,Sports Operations
1019,Graduate Teaching Office,Office,Academic - Faculty,Politics
1020,CLES Office 1,Office,Academic - Faculty,Biosciences
1021,CLES Office 3,Office,Academic - Faculty,Biosciences
1022,Exercise Lab 2,Specialist Area,Academic - Faculty,Sport and Health Sciences
1023,CLES Write Up 2,Office,Academic - Faculty,Biosciences
1024,Main Mineral Lab,Specialist Area,Academic - Faculty,Camborne School of Mines
1025,APPLE TAXIS Kitchen,Retail Outlets,Support,Commercial Operations
1026,Utility Room,Other Space,Support,Grounds Services
1027,The Shop - Shop,Retail Outlets,Support,Commercial Operations
1028,Office 17,Office,Academic - Faculty,Drama
1029,Academic Office,Office,Academic - Faculty,Law School
1030,PERIODICAL MOB RACKS,Library,Support,Library
1031,EMPS Office 7,Office,Academic - Faculty,Engineering
1032,Technician's Room,Office,Academic - Faculty,Engineering
1033,TRUE COLORS Shop,Retail Outlets,Support,Commercial Operations
1034,Preparation Lab,Laboratory,Academic - Faculty,School of Education
1035,Animal House,Storage Space,Support,Sports Operations
1036,IT Hub Room,Other Space,Support,IT Services
1037,Airing Cupboard,Storage Space,Support,Grounds Services
1038,General Store,Storage Space,Academic - Faculty,Sport and Health Sciences
1039,Store,Storage Space,Support,Grounds Services
1040,Boat Hall,Leisure Facilities,Support,Sports Operations
1041,Male Changing Room & Showers,Leisure Facilities,Support,Sports Operations
1042,Grounds Main Store,Workshops,Support,Grounds Services
1043,Meeting Room/kitchen,Meeting Room,Academic - Faculty,School of Education
1044,Computational PC Suite,Computer Room,Academic - Faculty,Politics
1045,Technical Services Hub - SHS,Office,Academic - Faculty,Sport and Health Sciences
1046,APPLE TAXIS Store,Retail Outlets,Support,Commercial Operations
1047,Accessible Shower,Leisure Facilities,Support,Sports Operations
1048,Living Room,Other Space,Support,Grounds Services
1049,Boathouse Store,Leisure Facilities,Support,Sports Operations
1050,Supply Compressor Room,Specialist Area,Academic - Faculty,Physics and Astronomy
1051,Kiosk,Leisure Facilities,Support,Sports Operations
1052,The Shop - Shop Toilet,Retail Outlets,Support,Commercial Operations
1053,Cricket Playing Area,Leisure Facilities,Support,Sports Operations
1054,Soil Store,Storage Space,Support,Grounds Services
1055,Store/Chiller,Specialist Area,Academic - Faculty,Physics and Astronomy
1056,Single Bedroom,Bedroom,Residential,Third Party Accounts
1057,Meeting Room RSMR,Meeting Room,Academic - Faculty,"Communications, Drama and Film"
1058,Chef Office,Central Catering,Support,Social Space Penryn
1059,Accessible WC,Balance Space,Other,Balance
1060,Seminar Room,Seminar Room [PS],Academic - Central,Centrally Bookable Space
1061,Study Bedroom,Bedroom,Residential,Residence Operations
1062,Store,Balance Space,Other,Balance
1063,Study Bedroom - Superior Suite,Bedroom,Residential,Residence Operations
1064,Lift,Balance Space,Other,Balance
1065,Stairs,Balance Space,Other,Balance
1066,Corridor,Balance Space,Other,Balance
1067,Arts & Culture office,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1068,Demonstration Room,Specialist Area,Academic - Faculty,Medical Imaging (Radiography)
1069,Single Bedroom,Bedroom,Residential,Residence Operations
1070,Office,Office,Academic - Faculty,University of Exeter Medical School
1071,Bedroom,Bedroom,Residential,Residence Operations
1072,Lift 02,Balance Space,Other,Balance
1073,Male WC,Balance Space,Other,Balance
1074,En Suite,Bedroom,Residential,Residence Operations
1075,West Plant Room,Balance (Building Service) Space,Other,Balance
1076,Office,Office,Support,External Engagement and Global
1077,Unisex WC,Balance Space,Other,Balance
1078,Riser,Balance Space,Other,Balance
1079,Plant,Balance (Building Service) Space,Other,Balance
1080,Dumb Waiter,Balance Space,Other,Balance
1081,Journals/Video Collection,Library,Support,Combined Services
1082,Female WC,Balance Space,Other,Balance
1083,Study Hub,Study Space [PS],Support,Education and Academic Services
1084,STAFF STUDY/RESEARCH,Office,Academic - Faculty,Faculty of Health and Life Sciences
1085,Academic,Office,Academic - Faculty,Geography
1086,Fire Lobby,Balance Space,Other,Balance
1087,Meeting Room,Meeting Room,Support,Estate Services
1088,Main stairs,Balance Space,Other,Balance
1089,BALCONY AREA LEVEL 287.50,Social Space,Support,Social Space Streatham
1090,Office,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
1091,Cleaners,Balance Space,Other,Balance
1092,Twin Bedroom,Bedroom,Residential,Residence Operations
1093,Electrics Room,Balance Space,Other,Balance
1094,IT Store,Storage Space,Academic - Faculty,Faculty of Health and Life Sciences
1095,Riser,Balance Space,Residential,Balance
1096,Lobby,Balance Space,Other,Balance
1097,Circulation,Balance Space,Other,Balance
1098,FWC lobby,Balance Space,Other,Balance
1099,Dirty Utility,Balance Space,Other,Balance
1100,Automatic Opening Vent,Balance Space,Other,Balance
1101,Service Void,Balance Space,Other,Balance
1102,Seminar Mobile 6,Seminar Room,Academic - Central,Penryn CBS
1103,Postgraduate Meeting Room,Meeting Room,Academic - Faculty,Geography
1104,Store,Storage Space,Other,University
1105,Office,Office,Support,Wellbeing Services
1106,Kitchen,Other Space,Support,University
1107,Female WC,Balance Space,Residential,Balance
1108,Kitchen,Central Catering,Support,Catering and Food Services
1109,Comms Room,Other Space,Support,Combined Services
1110,PGR/Postdoc,Office,Academic - Faculty,Geography
1111,Main reception/SID Desk,Office,Support,Careers Information and Systems
1112,Plant Room,Balance (Building Service) Space,Residential,Balance
1113,Male WCs,Balance Space,Other,Balance
1114,Female WCs,Balance Space,Other,Balance
1115,Terrace Kitchen Office,Office,Support,Catering and Food Services
1116,Clinic Room 10,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1117,Lecture Room - Teaching Lab,Seminar Room [PS],Academic - Central,Centrally Bookable Space
1118,Office,Office,Academic - Faculty,Economics
1119,Accessiblity Lift,Balance Space,Other,Balance
1120,Unisex Toilet,Balance Space,Other,Balance
1121,Student Services Centre,Office,Support,Hubs
1122,Female WC,Balance Space,Other,Other
1123,Duct,Balance Space,Other,Balance
1124,Research Laboratory,Specialist Area,Academic - Faculty,University of Exeter Medical School
1125,Store,Library,Support,Combined Services
1126,Corridor,Balance Space,Residential,Balance
1127,Study Bedroom (Extended),Bedroom,Residential,Residence Operations
1128,Circulation (horizontal) - Forum,Balance Space,Other,Balance
1129,Store next to Bar Lobby,Storage Space,Support,Catering and Food Services
1130,Reception Link,Balance Space,Other,Balance
1131,Balance Space,Balance Space,Residential,Balance
1132,Utility,Other Space,Residential,Residence Operations
1133,Safe Room,Storage Space,Support,Banking Operations
1134,Stair,Balance Space,Other,Other
1135,WC,Balance Space,Other,Balance
1136,Plant Bridge,Balance (Building Service) Space,Other,Balance
1137,Total for Non Bedroom Net Space,Other Space,Residential,Residence Operations
1138,Committee Room - John Usher,Meeting Room [PS],Support,Centrally Bookable Space
1139,Lift Motor Room,Balance Space,Other,Balance
1140,Cleaner's Store,Balance Space,Other,Balance
1141,Clinic Room 2,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1142,Elec,Balance Space,Residential,Balance
1143,Stairwell,Balance Space,Other,Balance
1144,Store,Storage Space,Support,Global Advancement
1145,Cooking,Central Catering,Support,Social Space Penryn
1146,Common Area,Social Space,Academic - Faculty,Clinical and Biomedical Sciences
1147,Store,Storage Space,Academic - Faculty,Geography
1148,Gas Meter,Balance Space,Other,Balance
1149,Music Practice Room 3,Other Space,Other,Student Guild
1150,Stair Core,Balance Space,Other,Balance
1151,Kitchen Office,Central Catering,Support,Catering and Food Services
1152,Academic Office,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
1153,Plant Room,Balance (Building Service) Space,Other,Balance
1154,Office,Office,Academic - Faculty,University of Exeter Business School
1155,Digital Mapping,Specialist Area,Support,Combined Services
1156,Boiler Room,Balance (Building Service) Space,Other,Balance
1157,Kitchen,Other Space,Support,Combined Services
1158,Bar Kitchen Store,Storage Space,Support,Catering and Food Services
1159,Practice Room Store,Storage Space,Other,Other
1160,SID Team Back Office (Room 9),Office,Support,Student Services Centre (SID)
1161,Chapel Lobby,Balance Space,Other,Balance
1162,Reception,Other Space,Support,FXplus Estates
1163,DFO Office,Office,Academic - Faculty,University of Exeter Medical School
1164,Acc En Suite,Bedroom,Residential,Residence Operations
1165,Lecture Room,Seminar Room [PS],Academic - Central,Centrally Bookable Space
1166,Stage Store,Storage Space,Support,Estate Services
1167,Accessible Shower,Balance Space,Other,Balance
1168,Flexible Space,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1169,Digital Humanities,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1170,Lift,Other Space,Other,University College Falmouth
1171,MWC lobby,Balance Space,Other,Balance
1172,Racked Lecture Theatre 3,Lecture Theatre,Academic - Central,Penryn CBS
1173,Balance Space Level 10,Balance Space,Residential,Balance
1174,Lobby to Pret Prep,Balance Space,Other,Balance
1175,Field Equipment Store,Storage Space,Academic - Faculty,Geography
1176,Terrace Restaurant Kitchen,Central Catering,Support,Catering and Food Services
1177,Elec,Balance Space,Other,Balance
1178,Ram Bar kitchen,Central Catering,Support,Catering and Food Services
1179,Kitchen,Other Space,Academic - Faculty,Clinical and Biomedical Sciences
1180,Male WC / Changing,Balance Space,Other,Balance
1181,Cross Keys Kitchen,Retail Outlets,Support,Catering and Food Services
1182,Greenpeace Office,Other Space,Other,Third Party Accounts
1183,wildFIRE Laboratory,Specialist Area,Academic - Faculty,Geography
1184,Riser,Balance (Building Service) Space,Other,Balance
1185,Professor Residence - managed via Residences,Bedroom,Residential,Residence Operations
1186,PGR Office - UKRI,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
1187,WC and Shower,Balance Space,Other,Balance
1188,Stairs,Balance Space,Residential,Balance
1189,Waste/Recycling,Other Space,Other,Other
1190,Committee Room - Ted Wragg,Meeting Room [PS],Support,Centrally Bookable Space
1191,Unisex Accessible WC,Balance Space,Other,Balance
1192,Electrical Cupboard,Balance Space,Other,Balance
1193,Office - Hot Desk,Office,Academic - Faculty,University of Exeter Business School
1194,Open Plan Office,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
1195,Office,Office,Academic - Faculty,Finance and Accounting
1196,BMS,Balance Space,Other,Balance
1197,Seminar Room 1,Seminar Room,Other,Other
1198,Auditorium - Grab & Go,Other Space,Support,University
1199,Social Street,Social Space,Support,Social Space Penryn
1200,PGR/Post Doc Office,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
1201,Tea Point,Balance Space,Other,Balance
1202,LV Switch Room,Balance Space,Other,Balance
1203,PGR study space,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1204,Coldrooms,Central Catering,Support,Social Space Penryn
1205,Goods Lift,Balance Space,Other,Balance
1206,Lobby outside Guild Activity Spaces,Balance Space,Other,Balance
1207,Balance Space Level 15,Balance Space,Residential,Balance
1208,Spirits Store,Storage Space,Support,Catering and Food Services
1209,Store,Storage Space,Residential,Residence Operations
1210,Balance Space,Balance Space,Other,Balance
1211,Research Services - Cornwall Cluster,Office,Support,Cornwall (Research Finance)
1212,Staff Break Out Meeting Room,Meeting Room,Academic - Faculty,Faculty of Health and Life Sciences
1213,Engine Room,Study Space [PS],Support,Education and Academic Services
1214,Core Proc Lab,Specialist Area,Academic - Faculty,Geography
1215,Assessment Exhibition,Specialist Area,Other,University College Falmouth
1216,Store,Storage Space,Academic - Central,Centrally Bookable Space
1217,Matrix LT lobby,Balance Space,Other,Balance
1218,Reception/Waiting Area,Office,Support,Education and Academic Services
1219,Stair Lobby,Balance Space,Other,Balance
1220,Store,Storage Space,Support,Student Wellbeing and Welfare
1221,WCs,Balance Space,Other,Balance
1222,Meeting Room,Meeting Room,Support,"Finance, Infrastructure and Commercial Services"
1223,RI Room,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1224,Office,Other Space,Other,Third Party Accounts
1225,Boiler Room,Balance Space,Other,Balance
1226,Red Seminar,Seminar Room [PS],Academic - Central,Penryn CBS
1227,Bar,Social Space,Support,Social Space Penryn
1228,Store,Social Space,Support,Social Space Penryn
1229,Student Services (Room 15),Office,Support,AccessAbility
1230,Pre & Post Lab,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1231,Studio Talk,Specialist Area,Other,University College Falmouth
1232,Apple Green Room,Leisure Facilities,Other,Student Guild
1233,IIB Office,Office,Support,Exeter Innovation
1234,Cleaners Cupboard,Balance Space,Other,Balance
1235,PPBI Office,Office,Support,Data (Digital)
1236,Kitchen Rear Lobby,Balance Space,Other,Balance
1237,Staff Lockers,Central Catering,Support,Catering and Food Services
1238,LRC room,Study Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
1239,Toilets (Male) - Auditorium,Balance Space,Other,Balance
1240,Strategic Delivery Unit,Office,Support,Strategic Delivery Unit
1241,Academic Office,Office,Academic - Faculty,University of Exeter Medical School
1242,Store,Storage Space,Support,Human Resources
1243,Balance Space Level 14,Balance Space,Residential,Balance
1244,Archive Store,Storage Space,Academic - Faculty,Geography
1245,Equipment Store,Storage Space,Support,Combined Services
1246,Balance Space Level 12,Balance Space,Residential,Balance
1247,Store,Storage Space,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1248,Dry Riser,Balance Space,Other,Balance
1249,Total for Non Bedroom Net Space,Other Space,Residential,Third Party Accounts
1250,A.S.K. Office,Office,Support,Combined Services
1251,Ground floor corridor,Balance Space,Other,Balance
1252,Riser 03,Balance Space,Other,Balance
1253,Equipment Store & Linen Store,Storage Space,Academic - Faculty,Clinical and Biomedical Sciences
1254,Workspace for MSC Students,Computer Room,Support,Combined Services
1255,Procedure Laboratory,Laboratory,Academic - Faculty,University of Exeter Medical School
1256,FXU Open Office Area,Office,Other,Guild Penryn
1257,Corridor,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1258,Riser 02,Balance Space,Other,Balance
1259,Timetabling team,Office,Support,Education and Academic Services
1260,On-Call Office,Office,Academic - Faculty,Clinical and Biomedical Sciences
1261,External Plant,Balance (Building Service) Space,Other,Balance
1262,Seminar Room 3,Seminar Room,Other,Other
1263,Lounge Diner,Bedroom,Residential,Residence Operations
1264,Academic Office (DVC),Office,Support,Office of Vice-Chancellor and Senior Executive
1265,Former Music Space,Other Space,Other,University
1266,Staff Union Room,Other Space,Other,University
1267,Thomson Reuters Trading Room - PG IT Suite,Computer Room,Academic - Faculty,University of Exeter Business School
1268,Hot Water Cylinder,Balance Space,Other,Balance
1269,Photo Studio - Large 2,Specialist Area,Other,University College Falmouth
1270,Meeting Room,Meeting Room,Support,"Student Access, Recruitment and Admissions"
1271,Cleaners Room,Balance Space,Other,Balance
1272,004 Circulation Area,Balance Space,Other,Balance
1273,Cleaners Store,Balance Space,Other,Balance
1274,Physics Link Bridge,Balance Space,Other,Balance
1275,Lift Space,Balance Space,Other,Balance
1276,Male WC,Balance Space,Residential,Balance
1277,Nappy Change Room,Other Space,Support,Combined Services
1278,SPT Office - Senior Professional Team,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
1279,Plant Room / Sub-Station,Balance Space,Other,Balance
1280,Academic,Office,Academic - Faculty,Modern Languages
1281,Female Toilet,Balance Space,Other,Balance
1282,Kitchenette,Balance Space,Other,Balance
1283,IT Suite Lobby,Balance Space,Other,Other
1284,Cedar Room,Office,Support,Student Wellbeing and Welfare
1285,Dolby Room lobby,Balance Space,Other,Balance
1286,General Teaching Lab,Specialist Area,Academic - Faculty,Faculty of Health and Life Sciences
1287,Switch Room,Balance Space,Residential,Balance
1288,Stair 01,Balance Space,Other,Balance
1289,Study Bedroom - Accessible,Bedroom,Residential,Residence Operations
1290,Riser 05,Balance Space,Other,Balance
1291,Xpression FM - Studio 2,Other Space,Other,Student Guild
1292,wildFIRE Laboratory,Office,Academic - Faculty,Geography
1293,Substation SS50,Balance (Building Service) Space,Other,Balance
1294,Stair 03,Balance Space,Other,Balance
1295,DBL Office,Office,Academic - Faculty,Clinical and Biomedical Sciences
1296,Lift,Balance Space,Other,Other
1297,Print Area,Study Space [PS],Support,Education and Academic Services
1298,Main Street - open space,Social Space,Support,Social Space Streatham
1299,Analytical Instrument Laboratory,Specialist Area,Academic - Faculty,Geography
1300,Male WC lobby,Balance Space,Other,Balance
1301,Cleaners,Balance Space,Residential,Balance
1302,Common Room,Social Space,Residential,Residence Operations
1303,Picture Desk / Press Photography,Specialist Area,Other,University College Falmouth
1304,Serviced Void 4,Balance Space,Other,Balance
1305,Meeting Room,Meeting Room,Academic - Faculty,Economics
1306,Food Store,Storage Space,Residential,Residence Operations
1307,Chaplaincy Multi Faith Room,Social Space,Support,Student Wellbeing and Welfare
1308,Projector Room,Other Space,Other,Student Guild
1309,Stairs from Ground,Balance Space,Other,Balance
1310,Balance Space,Balance Space,Residential,Third Party Accounts
1311,Drying Room,Specialist Area,Other,University College Falmouth
1312,Seminar Room,Seminar Room,Academic - Central,Penryn CBS
1313,Lift,Balance Space,Residential,Balance
1314,WC lobby,Balance Space,Other,Balance
1315,Prep-Solids,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
1316,Level -1 Balance Space,Balance Space,Other,Balance
1317,"Studio 2 - Studio - Lighting, Sound",Specialist Area,Academic - Faculty,"Communications, Drama and Film"
1318,Circulation (horizontal)-Service Corridor,Balance Space,Other,Balance
1319,Lobby,Other Space,Other,University College Falmouth
1320,TEA ROOM,Other Space,Other,Social Space Streatham
1321,Office Technician 3,Office,Other,University College Falmouth
1322,Locker Room Circ,Balance Space,Other,Balance
1323,ESO Meeting Room,Meeting Room,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1324,Chemical Store,Storage Space,Other,Social Space Penryn
1325,Stair 04,Balance Space,Other,Balance
1326,Lecture Theatre 2,Lecture Theatre [PS],Academic - Central,Centrally Bookable Space
1327,Soil Grinding Machine,Specialist Area,Academic - Faculty,Geography
1328,Wellbeing Centre Delivery Room,Other Space,Support,Wellbeing Services
1329,Professor Residence -managed via Resid,Balance Space,Residential,Residence Operations
1330,Circ (Service Entrance),Balance Space,Other,Balance
1331,Director's Office,Office,Support,University Corporate Services
1332,Office Lect. Geography,Office,Academic - Faculty,Geography
1333,Staff Room,Office,Support,Combined Services
1334,Estates office,Office,Support,FXplus Estates
1335,Mechanical Workshop,Specialist Area,Academic - Faculty,"Faculty of Environment, Science and Economy"
1336,IT,Other Space,Other,Other
1337,Chemical Store,Balance Space,Residential,Balance
1338,Flexible Partition Zone,Seminar Room,Academic - Central,Penryn CBS
1339,Circulation (horizontal) - Seminar,Balance Space,Other,Balance
1340,Brine Store,Balance (Building Service) Space,Other,Balance
1341,Business Corridor,Balance Space,Other,Balance
1342,Sand Blast,Specialist Area,Other,University College Falmouth
